rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
43.1,43.62,273847.786,0.0008398850575300419,0.519207152342971,0.10042543092356881,0.0664,3.0,0.95,0.19687174123894943,0.0330373436317839,0.0616,0.7659574468085106,0
42.48,43.33,273843.446,0.000851764611533644,0.5216357987178148,0.1026699512052563,0.07095000000000003,3.0,0.95,0.1989111553216803,0.033496717883747085,0.0627375,0.7659574468085106,0
43.95,44.0,273853.532,0.0008241571106817704,0.5159535494267893,0.09740472695936271,0.06024999999999998,2.0,0.95,0.19202511971331038,0.03242881874436787,0.04506249999999999,0.7659574468085106,0
43.95,44.0,273853.532,0.0008241571106817704,0.5159535494267893,0.09740472695936271,0.06024999999999998,2.0,0.95,0.19202511971331038,0.03242881874436787,0.04506249999999999,0.7659574468085106,0
48.67,48.56,273705.84,0.0009979149953721889,0.29962438590414275,0.09427070942506596,0.013849999999999979,-1.0,0.9550000000000001,0.1366339181667931,0.03913042748907536,0.018462499999999993,0.7659574468085106,1
48.67,48.56,273705.84,0.0009979149953721889,0.29962438590414275,0.09427070942506596,0.013849999999999979,-1.0,0.9550000000000001,0.1366339181667931,0.03913042748907536,0.018462499999999993,0.7659574468085106,1
48.13,48.39,273704.148,0.0010025482808754477,0.3004582234847235,0.09567549231075119,0.01739999999999998,-1.0,0.9550000000000001,0.1379153286012022,0.0393084903106814,0.019349999999999996,0.7659574468085106,1
45.62,47.54,273695.662,0.00102578612126411,0.3045941160540711,0.10239342407865372,0.034200000000000015,-2.0,0.9524999999999999,0.1460548822820793,0.04020105126123541,0.03855,0.7659574468085106,1
48.28,48.44,273704.61600000004,0.001001266732389757,0.3002278963566777,0.0952813307019201,0.016400000000000005,-1.0,0.9550000000000001,0.1375557245356939,0.03925924213843546,0.0191,0.7659574468085106,1
48.13,48.39,273704.148,0.0010025482808754477,0.3004582234847235,0.09567549231075119,0.01739999999999998,-1.0,0.9550000000000001,0.1379153286012022,0.0393084903106814,0.019349999999999996,0.7659574468085106,1
49.02,58.04,3941.732,2.942782167145599e-05,0.014430799506099965,0.0179896330076604,0.04509999999999998,1.0,0.95,0.06480350530851542,0.0011764203412611973,0.026274999999999993,0.7659574468085106,1
49.02,58.04,3941.732,2.942782167145599e-05,0.014430799506099965,0.0179896330076604,0.04509999999999998,1.0,0.95,0.06480350530851542,0.0011764203412611973,0.026274999999999993,0.7659574468085106,1
71.56,80.58,840205.3120000002,0.0010050261625491322,0.5509028940219961,0.1722954754583651,0.4451428571428571,1.0,0.95,0.34819872344127206,0.03940370478743627,0.12628571428571428,0.7659574468085106,0
49.32,58.27,3941.772,2.181712278858081e-05,0.010752173731264306,0.016902939346735618,0.04475000000000001,1.0,0.95,0.06370739438625035,0.0008723042328113717,0.026187500000000002,0.7659574468085106,1
71.79,80.65,840207.5160000001,0.0010069948550493427,0.5512555609222191,0.1728893105991843,0.4471428571428573,1.0,0.95,0.34884782859675634,0.03947934655797403,0.12678571428571433,0.7659574468085106,0
72.31,80.79,840212.4820000001,0.0010114306563553989,0.5520481534486777,0.1742017354318687,0.45114285714285735,1.0,0.95,0.3501949620244552,0.039649758590009965,0.12778571428571434,0.7659574468085106,1
69.63,58.33,1435.542,0.0013218037634088128,0.6013188391807336,0.15233522323192109,0.13979999999999995,2.0,0.95,0.2409103396612099,0.0514987298905758,0.06494999999999998,0.7659574468085106,1
